group_level,region_id,admin_name,municipality_code,station_count,broad_matched_lead_stations,strong_matched_lead_stations,strong_lead_station_rate,registered_voters,voters_signed,turnout,valid_candidate_votes,progressive_bulgaria_votes,progressive_bulgaria_share,strong_lead_valid_candidate_votes,strong_lead_progressive_bulgaria_votes,strong_lead_progressive_bulgaria_share,strong_lead_valid_vote_share_of_group,strong_lead_pb_votes_minus_control_expectation,broad_lead_pb_votes_minus_control_expectation,matched_positive_residual_stations,matched_relative_high_turnout_high_share_stations,validation_issue_stations,strong_lead_validation_issue_stations,max_matched_control_score,max_pb_control_z,max_pb_share_minus_control,max_turnout_minus_control,strong_lead_sections,strong_lead_places,voting_modes_in_strong_leads,validation_issue_types,strong_lead_centroid_latitude,strong_lead_centroid_longitude,group_label
municipality,27,27. СТАРА ЗАГОРА,31,212,1,1,0.0047169811320754715,138494,71542,0.5165711149941514,69142,34180,0.49434497121865145,550,341,0.62,0.007954644065835527,64.71578417989798,64.71578417989798,1,0,5,0,2,5.519040797896843,0.117665062145269,0.0624501089883903,273100115,гр.Стара Загора,mixed_machine_paper,,42.41580552,25.61331511,27/31
municipality,27,27. СТАРА ЗАГОРА,22,17,3,1,0.058823529411764705,9826,4233,0.43079584775086505,3994,1590,0.39809714571857785,272,166,0.6102941176470589,0.06810215322984477,63.990462833099585,176.2432165875115,3,0,0,0,2,8.01432659666419,0.2352590545334544,0.0097754184554174,272200001,гр.Мъглиж,mixed_machine_paper,,42.60717937,25.54495096,27/22
municipality,02,02. БУРГАС,23,31,1,1,0.03225806451612903,10476,5147,0.4913134784268805,4901,1669,0.34054274637829013,282,153,0.5425531914893617,0.05753927769842889,63.6354721210423,63.6354721210423,1,0,0,0,2,8.144662848847716,0.2256577025568875,0.0024955139361421,022300003,гр.Сунгурларе,mixed_machine_paper,,42.759712,26.7791684,02/23
municipality,19,19. РУСЕ,05,23,5,1,0.043478260869565216,12181,4894,0.401773253427469,4707,1405,0.2984916082430423,174,112,0.6436781609195402,0.036966220522625874,63.49446316803081,288.06473088479544,4,1,0,0,3,10.735012130619058,0.364910707862246,0.1674755587462547,190500017,гр.Сеново,mixed_machine_paper,,43.6582645,26.373607,19/05
municipality,01,01. БЛАГОЕВГРАД,44,30,1,1,0.03333333333333333,12293,8390,0.6825022370454731,8077,1741,0.2155503280921134,403,146,0.36228287841191065,0.049894762907019934,62.94640560240103,62.94640560240103,1,0,0,0,2,7.751854719872801,0.1561945548446675,0.0421990733291373,014400022,с.Полето,mixed_machine_paper,,41.8595948,23.1434227,01/44
municipality,03,03. ВАРНА,01,17,1,1,0.058823529411764705,7025,3698,0.5264056939501779,3552,1560,0.4391891891891892,247,167,0.6761133603238867,0.06953828828828829,62.3834832379395,62.3834832379395,1,0,0,0,2,8.033192282473006,0.2525647094653421,-0.2448106771277504,030100014,с.Синдел,mixed_machine_paper,,43.1087342,27.6056675,03/01
municipality,22,22. СМОЛЯН,10,13,1,1,0.07692307692307693,7135,3778,0.5295024526979678,3690,1284,0.34796747967479674,354,178,0.5028248587570622,0.0959349593495935,61.89423984891407,61.89423984891407,1,0,0,0,2,7.007014532072072,0.1748424854489098,0.0086815776008011,221000012,с.Любча,mixed_machine_paper,,41.6192783,24.0970389,22/10
municipality,18,18. РАЗГРАД,11,16,1,1,0.0625,11237,3803,0.3384355254961289,3630,983,0.2707988980716253,279,133,0.4767025089605735,0.0768595041322314,61.0,61.0,1,0,0,0,2,8.346041035496025,0.2186379928315412,0.0557879047417773,181100005,гр.Завет,mixed_machine_paper,,43.757745,26.677036,18/11
municipality,27,27. СТАРА ЗАГОРА,07,22,1,1,0.045454545454545456,9607,5356,0.557510148849797,5122,2318,0.4525575946895744,442,260,0.5882352941176471,0.08629441624365482,60.525242223355434,60.525242223355434,1,0,0,0,3,5.785291203988662,0.1369349371569127,0.0591258392003088,270700006,гр.Гълъбово,mixed_machine_paper,,42.145155,25.8814558,27/07
municipality,02,02. БУРГАС,21,21,1,1,0.047619047619047616,11097,6036,0.5439307921059746,5828,3141,0.5389498970487303,355,245,0.6901408450704225,0.06091283459162663,60.050959232613906,60.050959232613906,1,0,0,0,2,6.3799685952004666,0.1691576316411659,0.0478044436528786,022100018,с.Равадиново,mixed_machine_paper,,42.3830151,27.6674815,02/21
municipality,30,30. ШУМЕН,21,14,1,1,0.07142857142857142,7188,3038,0.4226488592097941,2894,729,0.2519004837595024,249,115,0.46184738955823296,0.08604008293020042,58.35966653433902,58.35966653433902,1,0,0,0,3,8.822518275993394,0.2343761708206386,0.0694056600585082,302100006,с.Крива река,mixed_machine_paper,,43.5033923,27.1400837,30/21
municipality,06,06. ВРАЦА,27,44,1,1,0.022727272727272728,16280,8903,0.5468673218673219,8619,5193,0.602506091193874,210,183,0.8714285714285714,0.024364775495997214,57.63535031847134,57.63535031847134,1,0,0,0,4,8.108399548832768,0.2744540491355778,0.1342772297797848,062700034,с.Оселна,mixed_machine_paper,,43.0631068,23.54748,06/27
