contrast_level,region_id,admin_name,municipality_code,mixed_station_count,paper_station_count,mixed_valid_candidate_votes,paper_valid_candidate_votes,mixed_turnout,paper_turnout,paper_minus_mixed_turnout,mixed_pb_share,paper_pb_share,paper_minus_mixed_pb_share,mixed_strong_lead_rate,paper_strong_lead_rate,paper_minus_mixed_strong_lead_rate,mixed_strong_matched_leads,paper_strong_matched_leads,paper_minus_mixed_pb_votes_above_control_expectation,mixed_validation_issue_stations,paper_validation_issue_stations
municipality,19,19. РУСЕ,04,15,11,3917,944,0.44151761517615173,0.5291912158543117,0.08767360067815999,0.5856522849119223,0.4883474576271186,-0.09730482728480372,0.0,0.0,0.0,0,0,2.4161866720868765,1,0
municipality,30,30. ШУМЕН,22,27,9,5197,420,0.3392443135534808,0.4180633147113594,0.0788190011578786,0.4708485664806619,0.37142857142857144,-0.09941999505209048,0.0,0.0,0.0,0,0,0.9359526555000919,1,0
municipality,05,05. ВИДИН,15,2,7,475,313,0.5460674157303371,0.7204545454545455,0.17438712972420833,0.37473684210526315,0.2747603833865815,-0.09997645871868166,0.0,0.0,0.0,0,0,-26.329043401144485,0,0
municipality,20,20. СИЛИСТРА,15,7,7,1125,345,0.3170665947694796,0.5150645624103299,0.19799796764085031,0.35644444444444445,0.25507246376811593,-0.10137198067632852,0.14285714285714285,0.0,-0.14285714285714285,1,0,-0.23434709513401186,0,0
municipality,06,06. ВРАЦА,21,9,12,2238,1048,0.4537864077669903,0.6456739258387286,0.19188751807173832,0.5822162645218946,0.4799618320610687,-0.10225443246082588,0.0,0.0,0.0,0,0,-1.7116582027420417,0,0
municipality,26,26. СОФИЯ област,26,16,9,7004,966,0.5745319535508334,0.7189728958630528,0.14444094231221938,0.47315819531696174,0.37060041407867494,-0.1025577812382868,0.0,0.0,0.0,0,0,-2.097946263489737,3,0
municipality,06,06. ВРАЦА,35,7,5,1480,314,0.5458764726883256,0.5736568457538995,0.027780373065573905,0.5054054054054054,0.4012738853503185,-0.10413152005508686,0.14285714285714285,0.0,-0.14285714285714285,1,0,-28.337003699291344,0,0
municipality,08,08. ДОБРИЧ,12,19,26,3416,1225,0.3635334088335221,0.46445326596896425,0.10091985713544216,0.5412763466042154,0.43673469387755104,-0.10454165272666438,0.0,0.0,0.0,0,0,-3.4052911171370965,0,0
municipality,27,27. СТАРА ЗАГОРА,36,24,14,6400,876,0.42673076923076925,0.6309278350515464,0.20419706582077712,0.5353125,0.430365296803653,-0.10494720319634698,0.0,0.0,0.0,0,0,-0.49359819901762547,0,0
municipality,01,01. БЛАГОЕВГРАД,02,10,9,4405,941,0.6705950822057326,0.8472344161545216,0.17663933394878895,0.12326901248581158,0.018065887353878853,-0.10520312513193272,0.1,0.0,-0.1,1,0,9.910609068998134,0,0
municipality,30,30. ШУМЕН,10,17,6,3746,575,0.3610601614086574,0.6957026713124274,0.33464250990377,0.14602242391884676,0.04,-0.10602242391884675,0.0,0.0,0.0,0,0,-3.8538520840670025,0,0
municipality,13,13. ПАЗАРДЖИК,39,5,2,2352,309,0.6246418338108882,0.8490566037735849,0.22441476996269671,0.1917517006802721,0.08414239482200647,-0.10760930585826564,0.0,0.0,0.0,0,0,-65.30416661792113,0,0
municipality,05,05. ВИДИН,09,91,37,18863,2893,0.39475549255846915,0.5897738446411013,0.19501835208263213,0.5018819911997031,0.39405461458693397,-0.10782737661276914,0.0,0.0,0.0,0,0,68.81314609575335,0,0
municipality,12,12. МОНТАНА,29,64,20,20640,2065,0.525027808676307,0.6950514138817481,0.17002360520544102,0.5330910852713179,0.42518159806295397,-0.10790948720836391,0.0,0.0,0.0,0,0,315.09302878631524,0,0
municipality,28,28. ТЪРГОВИЩЕ,35,82,23,21491,1775,0.4210169619156987,0.5040805223068553,0.08306356039115659,0.40784514447908427,0.29859154929577464,-0.10925359518330963,0.012195121951219513,0.0,-0.012195121951219513,1,0,93.37429681483552,2,0
municipality,20,20. СИЛИСТРА,01,5,6,886,301,0.4638613861386139,0.6788793103448276,0.21501792420621374,0.45936794582392776,0.3488372093023256,-0.11053073652160217,0.0,0.0,0.0,0,0,-21.47740148507931,0,0
municipality,17,17. ПЛОВДИВ област,15,3,8,743,319,0.48280254777070064,0.6439393939393939,0.16113684616869328,0.6096904441453567,0.49843260188087773,-0.11125784226447893,0.0,0.0,0.0,0,0,-27.95568336734025,0,0
